feature,shap_mean_abs
cos_y1,0.20320100640852798
t_days,0.18453415631544653
doy,0.1141373716936211
days_to_eom,0.058271585853335965
t_years,0.05606470911783732
sin_m1,0.04107995112858566
cos_m1,0.04083864934848589
day,0.03166559341130098
sin_y1,0.02891187781225004
sin_w1,0.026092739835233355
dow,0.02027932527384333
month,0.019820254367101168
sin_y2,0.0193766919902072
cos_w1,0.01912548695845317
tet_days_diff,0.016000237077081075
cos_y2,0.013856251045042125
sin_y3,0.01323736652129247
promo_urban_blowout_since,0.01173657574797668
year,0.011235642173921907
sin_m2,0.01109532972761204
days_from_som,0.010674710186975328
sin_y4,0.010122606481098372
cos_y3,0.009792635190352771
cos_y5,0.0074975082749541835
sin_w2,0.006606003198937458
sin_y5,0.006048901768160832
cos_y4,0.0058185964499655836
promo_urban_blowout_until,0.005633758376297341
cos_m2,0.005372204574419072
promo_year_end_until,0.004644524079457675
sum_discount_active,0.003988785021598287
is_odd_year,0.003928756578578481
promo_urban_blowout,0.003290524510903603
promo_year_end_since,0.0030681042558564713
n_active_promos,0.0027258587468807025
cos_w2,0.0025500097685825073
dim,0.00159845433920512
tet_in_14,0.00126610746391791
promo_mid_year_until,0.0012401843195440408
quarter,0.0011439399274692564
is_last2,0.0010027561189485882
promo_fall_launch_since,0.0009200648363293141
promo_mid_year_since,0.000909673379372976
is_last3,0.0008094707650640071
promo_fall_launch_until,0.0007327242216011296
is_weekend,0.0007236831640773428
promo_spring_sale_until,0.0005929399683267094
is_first1,0.0005285400143534605
is_payday,0.000445072155255365
promo_rural_special_until,0.0004055035296974869
is_first3,0.00032524957494710935
promo_spring_sale,0.0003106391000131996
promo_rural_special_since,0.0002979299702660317
promo_spring_sale_since,0.00022718754364368365
tet_in_21,0.0002229520438234945
tet_before_7,0.00018976038538368923
tet_after_7,0.0001592788212145369
is_first2,0.00013290580149313762
promo_rural_special,7.467653046636051e-05
has_streetwear_promo,6.271631647379427e-05
promo_fall_launch,5.5712832498383656e-05
is_last1,5.048401459886054e-05
promo_year_end,4.939686432938382e-05
tet_in_7,4.291858863547417e-05
promo_urban_blowout_disc,3.194137419018816e-05
promo_mid_year,1.5326248401010812e-05
promo_year_end_disc,0.0
promo_fall_launch_disc,0.0
promo_rural_special_disc,0.0
hol_reunification,0.0
promo_mid_year_disc,0.0
promo_spring_sale_disc,0.0
is_month_end_zone,0.0
regime_pre2019,0.0
regime_2019,0.0
regime_post2019,0.0
hol_new_year,0.0
hol_womens_day,0.0
hol_labor_day,0.0
hol_national_day,0.0
hol_vn_womens_day,0.0
hol_dd_1111,0.0
hol_dd_1212,0.0
hol_christmas_eve,0.0
hol_christmas,0.0
hol_black_friday,0.0
tet_on,0.0
has_outdoor_promo,0.0
