iter	MAE
0	0.4082740149
1	0.3967224184
2	0.3845121378
3	0.3738145362
4	0.3631785402
5	0.3546238611
6	0.3446198758
7	0.3354343921
8	0.3281135841
9	0.3214389556
10	0.3141846771
11	0.3085964784
12	0.3018110682
13	0.294550361
14	0.2887789788
15	0.283361786
16	0.2780776436
17	0.2724285281
18	0.2676042124
19	0.2640096403
20	0.2610983723
21	0.257383084
22	0.2525405477
23	0.248368862
24	0.2448156869
25	0.2415815047
26	0.2387816617
27	0.2368122348
28	0.2349175064
29	0.2319902874
30	0.2301003027
31	0.2278269047
32	0.2260756176
33	0.2240816642
34	0.221857351
35	0.220235228
36	0.2178512263
37	0.2156330676
38	0.2139361291
39	0.2124898493
40	0.2110828666
41	0.2099363382
42	0.2086186259
43	0.2078489172
44	0.2068884456
45	0.2057792681
46	0.204406178
47	0.2038791053
48	0.2031308551
49	0.2026031588
50	0.2019834707
51	0.2013450331
52	0.20100722
53	0.2002376671
54	0.1998034003
55	0.1990913917
56	0.1984808634
57	0.1980909007
58	0.1973563579
59	0.1970118722
60	0.1964626946
61	0.1962846284
62	0.1957629984
63	0.1941871561
64	0.1937828122
65	0.1931642196
66	0.1928355803
67	0.1921531257
68	0.1918113145
69	0.191271853
70	0.1901242851
71	0.1898761514
72	0.1898120456
73	0.189270212
74	0.1889500574
75	0.1883895436
76	0.1872270752
77	0.1863134427
78	0.1859284305
79	0.1851795481
80	0.1848330291
81	0.1844766435
82	0.1841551429
83	0.1838285857
84	0.1835375299
85	0.1831215532
86	0.182009741
87	0.1818334753
88	0.1815415125
89	0.1813570573
90	0.1807532171
91	0.1804317269
92	0.1797092203
93	0.1793615164
94	0.178799357
95	0.1785404736
96	0.1781019459
97	0.1774571719
98	0.1771742991
99	0.1766553612
100	0.1765872821
101	0.1763427086
102	0.1760103811
103	0.1758803026
104	0.1757031493
105	0.1750063684
106	0.1748033159
107	0.1746172356
108	0.1740706005
109	0.1736419909
110	0.1727906286
111	0.1720438811
112	0.1717921297
113	0.1713769465
114	0.170709365
115	0.1705389032
116	0.1700631447
117	0.1698189239
118	0.1695848655
119	0.1689750715
120	0.1688197475
121	0.1687185784
122	0.1685247107
123	0.1682578959
124	0.1680684996
125	0.167881195
126	0.1677375391
127	0.1674249401
128	0.1671750669
129	0.1671043249
130	0.1669127679
131	0.1665525361
132	0.1663993154
133	0.1659820998
134	0.1657569259
135	0.1655601709
136	0.165555634
137	0.1652562259
138	0.1648813915
139	0.1642300737
140	0.1639981125
141	0.1639432993
142	0.1637175076
143	0.1632080136
144	0.1628138615
145	0.1625156006
146	0.1621733934
147	0.161875177
148	0.1609565305
149	0.1608018393
150	0.1600137929
151	0.1597321136
152	0.1595657086
153	0.1592959863
154	0.1585675316
155	0.1580938982
156	0.1576930531
157	0.1575442593
158	0.1574086545
159	0.1572835745
160	0.1571965655
161	0.1569331714
162	0.1565422497
163	0.1561232294
164	0.1556747984
165	0.1554542055
166	0.1548508537
167	0.1546839902
168	0.154399302
169	0.1542658662
170	0.1539528704
171	0.1535387837
172	0.1533519217
173	0.1529955509
174	0.1525695266
175	0.1523878134
176	0.1522376393
177	0.1520878101
178	0.1518283798
179	0.1515627859
180	0.1514244185
181	0.1512520708
182	0.1510780578
183	0.1509077361
184	0.1507856546
185	0.1504630942
186	0.1501984118
187	0.1500686903
188	0.1498066964
189	0.1495708287
190	0.1490485662
191	0.148865487
192	0.148494692
193	0.1482979451
194	0.1481189521
195	0.1478114086
196	0.1475072537
197	0.1470965222
198	0.1469899389
199	0.1467801239
200	0.1462367827
201	0.1458751384
202	0.1456286311
203	0.1454527392
204	0.1452789087
205	0.1451020047
