iter	Passed	Remaining
0	1	754
1	3	761
2	4	757
3	6	858
4	8	827
5	9	809
6	11	786
7	12	775
8	13	763
9	15	765
10	16	763
11	18	753
12	19	747
13	21	744
14	22	743
15	24	745
16	25	741
17	27	739
18	28	735
19	30	730
20	31	729
21	32	725
22	34	724
23	35	721
24	37	717
25	38	715
26	40	725
27	42	723
28	43	724
29	45	721
30	46	718
31	48	717
32	49	715
33	51	714
34	52	711
35	54	710
36	55	708
37	57	710
38	58	707
39	60	704
40	61	701
41	63	698
42	64	697
43	66	696
44	67	696
45	69	694
46	70	694
47	72	691
48	73	690
49	75	694
50	77	692
51	79	692
52	80	690
53	81	687
54	83	684
55	84	683
56	86	681
57	87	680
58	89	679
59	90	677
60	92	675
61	93	673
62	95	671
63	96	669
64	98	669
65	100	671
66	101	669
67	103	667
68	104	664
69	106	664
70	107	662
71	109	661
72	110	658
73	112	660
74	114	658
75	115	655
76	117	654
77	118	653
78	120	652
79	121	650
80	123	648
81	124	646
82	126	644
83	127	642
84	129	641
85	130	639
86	132	637
87	133	635
88	134	633
89	136	631
90	137	629
91	139	628
92	140	626
93	142	624
94	143	623
95	145	621
96	147	621
97	148	619
98	149	617
99	151	615
100	152	613
101	154	612
102	155	611
103	157	609
104	158	607
105	160	605
106	161	604
107	163	604
108	165	603
109	166	601
110	167	599
111	169	598
112	171	597
113	172	595
114	174	593
115	175	591
116	176	589
117	178	588
118	179	586
119	181	585
120	183	585
121	184	583
122	186	582
123	188	581
124	189	580
125	191	578
126	192	576
127	193	574
128	195	573
129	196	571
130	198	569
131	199	567
132	201	566
133	202	564
134	204	562
135	205	560
136	206	558
137	208	557
138	209	555
139	211	555
140	213	553
141	214	551
142	216	550
143	217	548
144	219	547
145	220	546
146	222	545
147	224	543
148	225	542
149	227	540
150	228	538
151	230	537
152	231	535
153	232	534
154	234	532
155	236	532
156	238	531
157	239	529
158	241	527
159	242	525
160	243	524
161	245	522
162	246	521
163	248	519
164	249	517
165	251	516
166	252	514
167	254	512
168	255	510
169	257	510
170	259	509
171	260	507
172	262	506
173	263	504
174	265	502
175	266	501
176	268	499
177	269	498
178	271	496
179	272	495
180	274	493
181	275	492
182	277	491
183	279	490
184	280	488
185	282	487
186	284	486
187	285	484
188	286	482
189	288	481
190	290	479
191	291	478
192	294	478
193	295	477
194	297	476
195	299	475
196	301	474
197	303	473
198	305	472
199	307	472
200	309	471
201	311	470
202	314	470
203	316	470
204	319	470
205	342	500
206	344	499
207	346	498
208	348	496
209	350	495
210	352	494
211	353	492
212	355	490
213	357	488
214	358	487
215	360	485
216	361	483
217	363	481
218	364	479
219	366	477
220	368	476
221	369	474
222	371	473
223	372	471
224	374	469
225	375	467
226	377	465
227	378	463
228	380	461
229	381	459
230	383	458
231	384	456
232	386	454
233	388	453
234	389	451
235	391	449
236	392	447
237	394	445
238	395	443
239	396	441
240	398	439
241	400	438
242	401	436
243	403	434
244	404	432
245	406	430
246	407	429
247	409	427
248	410	425
249	411	423
250	413	421
251	415	420
252	416	418
253	418	416
254	419	414
255	421	412
256	422	410
257	423	409
258	425	407
259	426	405
260	428	403
261	429	401
262	431	399
263	433	399
264	435	397
265	436	395
266	437	393
267	439	391
268	441	390
269	442	388
270	444	386
271	445	385
272	447	383
273	448	381
274	450	379
275	451	378
276	453	376
277	454	374
278	456	372
279	457	371
280	459	369
281	460	367
282	461	365
283	463	363
284	465	362
285	466	360
286	467	358
287	469	356
288	470	355
289	472	353
290	473	351
291	475	350
292	477	348
293	478	346
294	480	345
295	481	343
296	483	341
297	484	340
298	486	338
299	487	336
300	489	334
301	490	333
302	492	331
303	493	329
304	495	328
305	496	326
306	498	324
307	499	322
308	500	320
309	502	319
310	503	317
311	505	315
312	506	314
313	508	312
314	509	310
315	511	308
316	512	307
317	514	305
318	515	303
319	517	302
320	518	300
321	520	298
322	521	297
323	523	295
324	524	293
325	526	292
326	527	290
327	528	288
328	530	287
329	531	285
330	533	283
331	535	282
332	537	280
333	538	279
334	540	277
335	541	275
336	543	274
337	544	272
338	546	270
339	547	269
340	549	267
341	550	265
342	552	264
343	553	262
344	555	260
345	556	259
346	558	257
347	559	255
348	561	254
349	562	252
350	564	250
351	565	249
352	567	247
353	568	245
354	570	244
355	571	242
356	573	240
357	574	239
358	576	237
359	577	235
360	580	234
361	581	233
362	583	231
363	584	229
364	586	228
365	588	226
366	589	224
367	591	223
368	592	221
369	594	219
370	595	218
371	597	216
372	598	215
373	600	213
374	601	211
375	603	210
376	604	208
377	606	206
378	607	205
379	609	203
380	610	201
381	613	200
382	614	198
383	615	197
384	617	195
385	618	193
386	620	192
387	622	190
388	623	189
389	625	187
390	626	185
391	628	184
392	630	182
393	631	181
394	633	179
395	634	177
396	636	176
397	637	174
398	639	173
399	640	171
400	642	169
401	644	168
402	646	166
403	647	165
