feature,shap_mean_abs
cos_y1,0.2137934040824609
t_days,0.087112287067026
t_years,0.07301012316196248
sin_m1,0.05204009073177309
month,0.041325324119627166
year,0.0373772426359894
days_to_eom,0.035784957616456475
sin_m2,0.03281444333054705
sin_y1,0.030196010975314956
doy,0.02984786610993714
sin_w1,0.02818311724265051
day,0.025863187086773914
cos_m1,0.02580451511235329
days_from_som,0.025216339139857318
quarter,0.019716685408874883
regime_pre2019,0.016541628201078316
dow,0.016116907665631824
cos_m2,0.014960593519641784
cos_y2,0.012980969223818745
cos_w1,0.012264846266998313
sin_y5,0.008976026178856022
sin_y2,0.008807207090348336
is_month_end_zone,0.008802879678233325
sin_y4,0.008558441844028796
sin_w2,0.008191726925478973
cos_y3,0.00808287542290809
sin_y3,0.007109359111910777
is_odd_year,0.005925195060339816
tet_days_diff,0.00526460662357342
sum_discount_active,0.003982464708164498
promo_year_end_until,0.003409356651161921
cos_y4,0.003127041215909146
is_last3,0.0030107365427710893
cos_y5,0.002890047542726589
promo_spring_sale,0.0027744383781296675
n_active_promos,0.002523821012646042
cos_w2,0.0024204215845994794
is_payday,0.0022600770316817116
dim,0.002256853089568554
is_first3,0.0017587155473112734
regime_post2019,0.0014971841950127999
is_last2,0.0011529087817040691
promo_fall_launch_until,0.0011285425506851864
promo_spring_sale_since,0.0008792730197697319
is_first1,0.000706045689673026
promo_urban_blowout_until,0.0006758642800986168
promo_mid_year_since,0.0006572506118996713
promo_year_end_since,0.0006277420148317451
promo_urban_blowout_disc,0.0005846710091222076
promo_spring_sale_until,0.0005223329739545559
promo_rural_special_until,0.0005177890299273384
promo_fall_launch_since,0.0004355362289744726
is_first2,0.00026531354694568073
promo_fall_launch_disc,0.00026310741397425565
promo_year_end_disc,0.00024314324027554956
promo_rural_special_since,0.00016619587484425967
tet_in_7,0.00016481630728855127
promo_spring_sale_disc,0.00014500993211007704
promo_mid_year_until,0.00014473620738775922
has_outdoor_promo,8.250677471393454e-05
promo_rural_special,7.556230081775765e-05
is_last1,6.998132726906822e-05
promo_urban_blowout_since,5.8297914493155004e-05
hol_black_friday,4.760521729775338e-05
hol_womens_day,1.538076099617978e-05
hol_reunification,7.462522464232728e-06
hol_national_day,0.0
has_streetwear_promo,0.0
is_weekend,0.0
promo_rural_special_disc,0.0
regime_2019,0.0
hol_new_year,0.0
hol_labor_day,0.0
promo_urban_blowout,0.0
tet_on,0.0
tet_after_7,0.0
hol_dd_1111,0.0
promo_year_end,0.0
hol_dd_1212,0.0
hol_christmas_eve,0.0
hol_christmas,0.0
promo_fall_launch,0.0
promo_mid_year_disc,0.0
tet_in_14,0.0
promo_mid_year,0.0
tet_in_21,0.0
tet_before_7,0.0
hol_vn_womens_day,0.0
