feature,shap_mean_abs
cos_y1,0.1999739944551611
t_years,0.10223993745631461
t_days,0.07244174336823474
sin_m1,0.05969989516871208
sin_y1,0.04966082642263461
doy,0.03742334569137309
month,0.036180222134193425
days_to_eom,0.0351040221472715
days_from_som,0.029325380168167665
sin_m2,0.027105134226779733
cos_m1,0.024668339746075407
year,0.021030842686202336
dow,0.020652941403998305
sin_w1,0.020428095577768306
day,0.018733364383459985
sin_y2,0.016209335980301644
sum_discount_active,0.015607222757083901
n_active_promos,0.013809305696177951
cos_m2,0.013549664479568773
cos_w1,0.013452616524775736
regime_pre2019,0.011377488854758271
cos_y3,0.009668780913891634
tet_days_diff,0.008881849155008862
promo_urban_blowout_since,0.008098959255272738
sin_y5,0.0069220631889186455
cos_y2,0.006765544716430173
sin_w2,0.0060270775865271485
is_month_end_zone,0.005930513783577172
is_odd_year,0.005883128953311416
promo_year_end_until,0.005599778734752188
sin_y4,0.005586519091716062
quarter,0.005488833838593825
sin_y3,0.005472837345708632
is_weekend,0.004365530358268653
regime_post2019,0.004238166599204289
promo_urban_blowout_until,0.003957044563070597
cos_y4,0.003767222928632411
is_payday,0.003405013963627168
is_first2,0.0028536169307311512
dim,0.0027877070762798548
cos_y5,0.002615132487450465
cos_w2,0.0018638668849167211
promo_mid_year_since,0.0014021133543544234
is_last2,0.001267847034974353
promo_fall_launch_until,0.0010406912612617807
is_last3,0.0008920867077378538
has_streetwear_promo,0.0008015975281511752
is_first3,0.0006761292132860179
promo_spring_sale_since,0.0005301951105828785
promo_rural_special_until,0.0005271192022078876
promo_year_end,0.0004329247757169401
promo_rural_special_since,0.0004103139186629101
is_first1,0.00040697882885765027
promo_spring_sale_until,0.00036759158379273546
promo_year_end_since,0.00033258182800972186
promo_urban_blowout_disc,0.0002779176812852406
promo_fall_launch_since,0.00023294557129772316
tet_in_7,0.00023256439144703548
promo_fall_launch,0.00021715206416580868
promo_spring_sale,0.00021523968015898498
promo_rural_special,0.000127935480856683
has_outdoor_promo,5.3840364774343414e-05
tet_before_7,4.197382395430497e-05
tet_on,1.6609532730466138e-05
promo_urban_blowout,0.0
is_last1,0.0
regime_2019,0.0
hol_new_year,0.0
promo_rural_special_disc,0.0
hol_womens_day,0.0
hol_labor_day,0.0
hol_national_day,0.0
hol_vn_womens_day,0.0
hol_dd_1111,0.0
hol_dd_1212,0.0
promo_year_end_disc,0.0
promo_spring_sale_disc,0.0
hol_christmas_eve,0.0
hol_christmas,0.0
hol_black_friday,0.0
promo_fall_launch_disc,0.0
tet_in_14,0.0
tet_in_21,0.0
promo_mid_year_disc,0.0
promo_mid_year_until,0.0
tet_after_7,0.0
promo_mid_year,0.0
hol_reunification,0.0
